[-240.0, 0.0, -60, -58, -60, -49, -66, -49]
[-240.0, 0.0, -60, -60, -59, -49, -61, -48]
[-240.0, 0.0, -61, -59, -57, -46, -61, -43]
[-240.0, 0.0, -58, -59, -58, -53, -60, -48]
[-240.0, 0.0, -60, -59, -55, -52, -58, -49]
[-240.0, 0.0, -59, -59, -58, -56, -57, -47]
[-240.0, 0.0, -58, -57, -57, -53, -56, -50]
[-240.0, 0.0, -60, -58, -57, -56, -54, -50]
[-240.0, 0.0, -61, -58, -58, -54, -56, -51]
[-240.0, 0.0, -62, -60, -58, -53, -57, -51]
[-240.0, 0.0, -61, -59, -56, -53, -58, -51]
[-240.0, 0.0, -60, -60, -57, -54, -59, -52]
[-240.0, 0.0, -60, -61, -55, -56, -60, -52]
[-240.0, 0.0, -60, -60, -60, -52, -58, -48]
[-240.0, 0.0, -60, -59, -61, -54, -59, -44]
[-240.0, 0.0, -61, -59, -58, -59, -56, -45]
[-240.0, 0.0, -61, -61, -56, -57, -53, -45]
[-240.0, 0.0, -65, -61, -60, -40, -51, -40]
[-240.0, 0.0, -66, -60, -62, -39, -51, -40]
[-240.0, 0.0, -62, -60, -69, -40, -53, -40]
[-240.0, 0.0, -66, -58, -65, -39, -53, -40]
[-240.0, 0.0, -64, -59, -60, -39, -53, -41]
[-240.0, 0.0, -64, -59, -59, -40, -54, -44]
[-240.0, 0.0, -60, -58, -56, -40, -56, -47]
[-240.0, 0.0, -61, -58, -60, -39, -57, -43]
[-240.0, 0.0, -62, -58, -58, -40, -54, -44]
[-240.0, 0.0, -61, -60, -56, -41, -56, -45]
[-240.0, 0.0, -61, -59, -56, -41, -55, -45]
[-240.0, 0.0, -61, -59, -59, -39, -56, -44]
[-240.0, 0.0, -60, -58, -60, -39, -55, -44]
[-240.0, 0.0, -60, -60, -59, -40, -56, -49]
[-240.0, 0.0, -63, -58, -60, -40, -54, -43]
[-240.0, 0.0, -60, -58, -63, -40, -55, -45]
[-240.0, 0.0, -60, -59, -64, -40, -57, -42]
[-240.0, 0.0, -60, -61, -63, -41, -57, -41]
[-240.0, 0.0, -60, -59, -65, -40, -56, -41]
[-240.0, 0.0, -61, -59, -64, -40, -56, -41]
[-240.0, 0.0, -61, -59, -64, -40, -56, -42]
[-240.0, 0.0, -64, -60, -66, -40, -54, -41]
[-240.0, 0.0, -63, -60, -61, -41, -55, -41]
[-240.0, 0.0, -62, -61, -66, -40, -55, -41]
[-240.0, 0.0, -63, -61, -63, -42, -53, -40]
[-240.0, 0.0, -68, -61, -48, -48, -48, -38]
[-240.0, 0.0, -65, -61, -49, -49, -48, -38]
[-240.0, 0.0, -65, -60, -51, -49, -43, -39]
[-240.0, 0.0, -64, -62, -52, -51, -45, -39]
[-240.0, 0.0, -61, -65, -52, -49, -45, -40]
[-240.0, 0.0, -61, -67, -53, -56, -45, -41]
[-240.0, 0.0, -64, -65, -54, -51, -45, -43]
[-240.0, 0.0, -62, -66, -53, -48, -44, -43]
[-240.0, 0.0, -62, -67, -53, -46, -43, -43]
[-240.0, 0.0, -62, -66, -53, -50, -44, -42]
[-240.0, 0.0, -60, -64, -51, -51, -43, -41]
[-240.0, 0.0, -62, -63, -51, -48, -45, -41]
